"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1774544778677674209","Sun Mar 31 21:21:40 +0000 2024","9","@Tan_Mar3M Sudah tak percaya dengan MK contoh nya waktu Prabowo lawan Jokowi ke MK saksi dari Prabowo satu pun g ada yg di benarkan oleh MK walaupun Anwar Usman sudah di berhenti dari ketua MK tapi Anwar Usman hanya pindah kursi saja dr MK","1774547637070647499","","Tan_Mar3M","in","","0","0","1","https://x.com/linglin53187986/status/1774547637070647499","1604403980582674432","linglin53187986"
"1774547622067659107","Sun Mar 31 21:21:37 +0000 2024","0","Kok bertepuk sebelah tangan.tuh barang sdh masuk'krn memang Prabowo butuh PKB nasdem dan PDI P.yg belum jelas itu Pekaes. Jangan liat layar depan layar belakang nya adem itu","1774547622067659107","","","in","","0","0","0","https://x.com/G0mb4k/status/1774547622067659107","1462319970184929284","G0mb4k"
"1774428783279493504","Sun Mar 31 21:21:13 +0000 2024","2","@realfedinuril Prabowo Subianto si penculik dan pelanggar HAM harus di adili","1774547520833613979","","realfedinuril","in","","0","0","0","https://x.com/fitrochul5332/status/1774547520833613979","1694965332295761920","fitrochul5332"
"1774216561274101870","Sun Mar 31 21:19:18 +0000 2024","0","@xquitavee @prabowo hah... kamu malu gak sih...","1774547038501572891","","xquitavee","in","","0","0","0","https://x.com/penduragian/status/1774547038501572891","944463325764534272","penduragian"
"1774305981884989492","Sun Mar 31 21:19:16 +0000 2024","0","@PakarINTELek Cara mengatasi masalah ini hanya dengan makan siang &amp; susu gratis supaya perempuan kuat Tutur pak @prabowo di debat capres terakhir 2024","1774547032449130916","","PakarINTELek","in","","0","0","0","https://x.com/alibaarz/status/1774547032449130916","426530843","alibaarz"
"1774442962140921947","Sun Mar 31 21:19:02 +0000 2024","1","@soeyoto1 Gimana mau percaya? Ketua KPU pernah selingkuh dgn anggota partai. Sekeliling @prabowo mayoritas maling.","1774546971048718836","","soeyoto1","in","","0","1","1","https://x.com/Karsono12732862/status/1774546971048718836","1296311058097823744","Karsono12732862"
"1774216561274101870","Sun Mar 31 21:18:57 +0000 2024","0","@kopiirengasli @Ekaali10 @xquitavee @prabowo Lah tapi kan disini masalahnya para pendukung 02 nuduh dia pendukung 01 malah kesannya dibuang dan gamau ngakuin.","1774546951058739544","","kopiirengasli","in","","0","1","0","https://x.com/controverstweet/status/1774546951058739544","1613236508349333504","controverstweet"
"1774216561274101870","Sun Mar 31 21:18:40 +0000 2024","0","@TaniHitam @xquitavee @prabowo Sing tenang min wkkwkwkkwkwk","1774546881017967049","","TaniHitam","in","Indonesia","0","1","0","https://x.com/tutuspambudi/status/1774546881017967049","89136386","tutuspambudi"
"1774244651509395877","Sun Mar 31 21:18:39 +0000 2024","0","@Candj09 Syarat nya jadi pendukung Prabowo itu harus bodoh https://t.co/N52b8SWjrf","1774546874533335478","https://pbs.twimg.com/ext_tw_video_thumb/1774546848998391808/pu/img/M5K3NQf5pVxffqL_.jpg","Candj09","in","","0","0","0","https://x.com/fitrochul5332/status/1774546874533335478","1694965332295761920","fitrochul5332"
"1774216561274101870","Sun Mar 31 21:18:19 +0000 2024","0","@xquitavee @prabowo Brisik","1774546791255736728","","xquitavee","in","Indonesia","0","0","0","https://x.com/tutuspambudi/status/1774546791255736728","89136386","tutuspambudi"
"1774447531767779754","Sun Mar 31 21:17:51 +0000 2024","0","@Joe__Bassey Pak @prabowo @jokowi kita gabeda sama Israel ternyata","1774546674133925996","","Joe__Bassey","in","","0","0","0","https://x.com/ano66z/status/1774546674133925996","1122886968075898880","ano66z"
"1774182482965086590","Sun Mar 31 21:17:44 +0000 2024","0","@didiwdiwdiw @jokowi @kemkominfo @prabowo menta tulung berantas judol tp ka bandarna wkwk","1774546645721473115","","didiwdiwdiw","in","","0","1","0","https://x.com/erereepapa/status/1774546645721473115","941966790380232704","erereepapa"
"1774535962309357927","Sun Mar 31 21:17:41 +0000 2024","2","@Flyingfighter27 awal wiraswasta malah covid ","1774546633625383385","","Flyingfighter27","in","Citayem California ","0","1","0","https://x.com/JHPrabowo/status/1774546633625383385","158912165","JHPrabowo"
"1774546446303518722","Sun Mar 31 21:16:56 +0000 2024","0","Meraba Politik Luar Negeri Prabowo Subianto https://t.co/JNVwvO5DQK #prabowosubianto #politikluarnegeri #nalarpolitik #pinterpolitik #politikindonesia #beritapolitik #beritapolitikterkini #beritapolitikterbaru","1774546446303518722","","","in","Jakarta, Indonesia","0","0","0","https://x.com/pinterpolitik/status/1774546446303518722","798770586784702464","pinterpolitik"
"1774546415533858867","Sun Mar 31 21:16:49 +0000 2024","1","HOW COME 2x........NDAS MU! 2014 Vs JOKOWI..... 2019 Vs JOKOWI(PRABOWO menang tapi diCURANGI) 2024 Vs ORANG2 yg banyak OMON2 n AROGAN juga SOMBONG!Faham ente BANG? Trus KOAR2 yg KALIAN sangka CURANG mana BUKTInya Lol?! https://t.co/6UcEnv93a8","1774546415533858867","https://pbs.twimg.com/media/GKB0jydXIAAKzj6.jpg","","in","","0","0","0","https://x.com/ArdoyantoE/status/1774546415533858867","1434495317496381443","ArdoyantoE"
"1774545095129497825","Sun Mar 31 21:16:08 +0000 2024","1","@DeddyDjumadi4 Dah kelar om","1774546243982872968","","DeddyDjumadi4","in","Citayem California ","0","1","0","https://x.com/JHPrabowo/status/1774546243982872968","158912165","JHPrabowo"
"1774546200739688753","Sun Mar 31 21:15:58 +0000 2024","1","Gilaa main fitnah buzzer 02 mmg azabnya paling sakit sihh pak tom lembong dibikin narasi ikut an korup di kasus 271 T dimana udah jelas helena kim aja dukung prabowo","1774546200739688753","","","in","Republic of Korea","0","0","0","https://x.com/tiasbae/status/1774546200739688753","967663329048080384","tiasbae"
"1774485206919188929","Sun Mar 31 21:15:47 +0000 2024","0","@H4T14K4LN4L42 @officialMKRI @KPU_ID @prabowo kok buktinya bacot","1774546156804354135","","H4T14K4LN4L42","in","East Java, Indonesia","0","0","0","https://x.com/RIRsyada/status/1774546156804354135","750630079","RIRsyada"
"1774335919161839989","Sun Mar 31 21:15:11 +0000 2024","0","@Yukaw87 @xquitavee mrk itu sbnnya lagi butuh peratian dari dr prabowo ama gibran mrk ini iri ke anies yg dekat ke pendukungnya sharing lgsg tatap muka dan memberi hal positif. ini yg tidak ada di 02 prabowo gibran mau ajak mrk ini temu sharing? yaa ngk kelas nya mrk dong hahahahahah","1774546006019108895","","Yukaw87","in","Londonderry, Northern Ireland","0","0","0","https://x.com/samurai_tenro/status/1774546006019108895","261023896","samurai_tenro"
"1774436148582215912","Sun Mar 31 21:14:34 +0000 2024","2","@anak_5okin @Gank_Of_Petojo Setaaann emang","1774545848497836177","","anak_5okin","in","Citayem California ","0","1","0","https://x.com/JHPrabowo/status/1774545848497836177","158912165","JHPrabowo"
